,Ceramide 2,Ceramide 3,Lactic Acid,PCA,Uric Acid,Urea,Melanin,Cholesterol
1,0.0,0.15501785117233285,0.0,0.20087023046324018,0.0,0.07087252455756528,26.86184364109578,0.0
2,0.0,0.1325994383445576,0.018033584877370615,0.11880128415518812,0.0,0.08974847843561813,19.54850232646373,0.0
3,0.0,0.09125827083812772,0.0,0.1659992073753511,0.0,0.07271580535004385,25.234929402443896,0.0
4,0.0,0.02513954365372663,0.016472030083351692,0.19749583523927702,0.0,0.09597135014267219,27.73519268453729,0.0
5,,,,,,,inf,
6,,,inf,,,,inf,
7,inf,,inf,,,,inf,inf
