,Ceramide 2,Ceramide 3,Lactic Acid,PCA,Uric Acid,Urea,Melanin,Cholesterol
1,0.0,0.09115878794024881,0.10524726706212839,0.02703669706740775,0.0,0.02092692701065142,0.0,0.0033904228192809215
2,0.0,0.08013623898851914,0.10471939846991944,0.027814758788700728,0.0,0.022868492925960344,0.0,0.0021777221456523023
3,0.0,0.06945474537307275,0.11408292006114047,0.012672814001118126,0.0,0.018310613677017855,0.0,0.003657322274968582
4,0.0,0.08921305107611692,0.09972333584873809,0.029123642704828874,0.0,0.011009943129424958,0.0,0.0019196730637149459
5,0.0,0.08895535649817679,0.09232732946092577,0.0331169942402766,0.000400103341909915,0.01392184567706406,0.0,0.0019863176969327793
6,0.0,0.11100962899431671,0.09765504053213604,0.028421319775907568,0.0,0.02249102337000092,0.0,0.0
7,0.0,0.13139249505632644,0.06157200700494058,0.03845073048879752,0.0,0.010818893828078591,0.0,0.0
8,0.0,0.12676268463211177,0.0825606637677451,0.0596491892648089,0.0006026675468518948,0.0,0.0877793726205822,0.0
9,0.0,0.13099143866114885,0.07727262343405145,0.05188790797724817,0.0,0.0163881757376827,0.31042771159748506,0.0
10,0.0,0.13994158106437854,0.039884472028837055,0.07170138446195724,6.383094724753324e-05,0.0016753524112402527,0.0,0.0
11,0.0,0.14571197062207392,0.08785351409145047,0.05004310747193687,0.0001610036337233497,0.0087200822992192,0.0,0.004038446128657474
12,0.0,0.12256968956063144,0.07241392411055798,0.0590900799614305,0.0,0.011746001306005354,0.04897501352854031,0.00022041117572165535
