,Ceramide 2,Ceramide 3,Lactic Acid,PCA,Uric Acid,Urea,Melanin,Cholesterol
1,,inf,inf,inf,inf,inf,inf,inf
2,,inf,inf,inf,inf,inf,inf,inf
3,,inf,inf,inf,inf,inf,inf,inf
4,,inf,inf,inf,inf,inf,inf,inf
5,,inf,inf,inf,inf,inf,inf,inf
6,,inf,inf,inf,inf,inf,inf,inf
7,,inf,inf,inf,inf,inf,inf,inf
8,0.0,18.679467718296248,39.75779521640288,11.047819394495734,0.5664475546648695,4.513505894489089,621.2131044370461,0.886310691808489
9,0.0,1.8143948967081067,3.6756889332153597,1.0311149612017712,0.05407522497870472,0.4074548927284517,47.85436563094248,0.09259275142083392
10,0.0,0.7626303925752304,0.7930748152457003,0.2619566474833533,0.008548902720639616,0.0814486169831973,12.928230368490832,0.023855479487206847
11,0.18571224692590163,0.6718094192984086,0.1082945045799329,0.1580486735236198,0.0,0.01690907245718631,6.209529447289861,0.0
12,,inf,inf,inf,inf,inf,inf,inf
13,,inf,inf,inf,inf,inf,inf,inf
