,Ceramide 2,Ceramide 3,Lactic Acid,PCA,Uric Acid,Urea,Melanin,Cholesterol
1,0.0,0.20522841744281325,0.4561054576586349,0.2077085404153853,0.013046870049654425,0.0413971892862983,0.6956448752421838,0.0
2,0.0,0.18216211290303685,0.21183203927836616,0.09724718456833054,0.007438777282192947,0.00882609008552091,0.0,0.0
3,0.0,0.16185308169334228,0.1835008157281618,0.08474021009051864,0.003077219681760019,0.02772325381758447,0.0,0.0
4,0.0,0.17128689676391923,0.16083670315580736,0.10931741017969286,0.0040864468152082235,0.019550286630572393,0.0,0.004547669894257622
5,0.0,0.14575288054272137,0.21829269724972558,0.048056676308027485,0.004942226821729235,0.014267057828016358,0.0,0.0
6,0.0508364417818667,0.07567769505267191,0.11932613762202449,0.1596370776745712,0.009357923539189883,0.0,0.0,0.012169316307669757
7,0.01514120544978457,0.11763502361597424,0.11142142223946294,0.06793120852006988,0.0044623872620842085,0.00433487139691053,0.0,0.007499503744051308
8,0.045858731807572856,0.048692539636540313,0.12977129373273716,0.04657485868708921,0.003980702412199055,0.002205543533930862,0.0,0.006709526802509124
9,0.012670122659158772,0.11399169632311891,0.13100939762452546,0.063069329553677,0.004123450997226238,0.012478578629226458,0.0,0.008997074158998631
10,0.030685607383512836,0.06509543302869895,0.12214714465334892,0.03482968334087225,0.0035010200433579918,0.0077249695590014605,0.0,0.0067801973116367
11,0.04158990092115907,0.02546997282158601,0.12207417617732624,0.021135775382550046,0.0048859075188198405,0.012149556471661657,0.0,0.005259886571933608
12,0.02758499936429057,0.03987277072010927,0.1429996363783496,0.029824740599268405,0.007626368935652461,0.008424258184056859,0.0,0.006630997681198597
13,0.0,0.5614013611503788,2.8532322016267737,1.0462237642053995,0.07850522086771643,0.2408850102263934,22.832927849702802,0.03378289508938921
14,0.0,0.27826661981947154,1.1998212899422709,0.47840466998385295,0.032923697120124246,0.13731560514849778,7.1264623618488185,0.0015724097907736797
