,Ceramide 2,Ceramide 3,Lactic Acid,PCA,Uric Acid,Urea,Melanin,Cholesterol
1,0.0,0.10177662302083709,0.1273922228560179,0.06525268251913592,0.0,0.03496480714874335,7.066744478267395,0.0
2,0.0,0.12209407667187114,0.033959087630949826,0.08797316232682124,0.0,0.022725422520798545,6.304893710643012,0.0
3,0.0,0.08832658440725066,0.08235610620722078,0.09627571249866812,0.0,0.018662092049531027,7.328172538977374,0.0
4,0.0,0.10964199519669672,0.027348264537953967,0.11776316425711382,0.0,0.03583448844215073,11.153473168559604,0.0
5,0.0,0.06249629642714196,0.05506492181994908,0.14909977298591093,0.0,0.031043130113118753,11.338818648903436,0.0
6,0.0,0.09931399968851376,0.013901145789244099,0.1324076725993738,0.0,0.03997530317031058,14.229316843365618,0.0
7,0.0,0.08443088068458508,0.020828299764879744,0.18806562075224245,0.0,0.05717624265362979,21.052020043404085,0.0
8,0.0,0.0864140293678826,0.06556843064225018,0.16931845290326183,0.0,0.03193347301919788,23.167727205639306,0.0
9,0.0,0.07470352745246042,0.0,0.19924482452973266,0.0,0.055680222041308784,26.695324911294186,0.0
10,0.0,0.07089409183217092,0.0,0.22172429713054242,0.0,0.1285251560539974,32.949825223196925,0.0
11,0.0,0.15346227683304575,0.0,0.21723083331880483,0.0,0.05997525672866196,36.55638867791548,0.0
12,0.0,0.0762960977380974,0.0,0.1748196765342861,0.0,0.12895014561624618,29.845317885558092,0.0
13,0.0,0.1971610958329803,0.23439334053452235,0.11466512108531228,0.0,0.03763486895596438,10.600954812815301,0.0
14,0.0,0.16343435170578588,0.18042724886629422,0.09635148263892113,0.001020350374315811,0.00899980693861566,3.5955501746134932,0.0
