,Ceramide 2,Ceramide 3,Lactic Acid,PCA,Uric Acid,Urea,Melanin,Cholesterol
1,0.0,0.7208401467012174,1.5696364846314346,0.4814311999140874,0.018161433638084635,0.20491819260158886,66.37314097033563,0.032277062874970334
2,0.0,0.4676040162904795,1.7717542410425131,0.5705225243614799,0.023160051513435503,0.33049750331758715,72.71157565407788,0.023925331393874795
3,0.0,0.4015785621790601,0.35618442746452406,0.15885691694445492,0.0,0.08401637195678727,27.106006467524068,0.0011290689472379313
4,0.0,0.2804641838472234,0.3804145037558112,0.17176354864355034,0.0011529172605134477,0.045200772886592126,23.020454611633657,0.002944235360043978
5,0.0,0.27000307321066486,0.052326042731799735,0.1800425084834203,0.0,0.07145529182401507,14.704556494413648,0.004381268658476866
6,0.0,0.15169873772615547,0.26940616238952575,0.17126792752716669,0.0,0.06064221163207288,15.41485867856951,0.0024262450155194525
7,0.0,0.21846186963577363,0.1344895578564226,0.1115533938064243,0.0,0.029534914800928288,14.21548524375582,0.0023311952611275067
8,0.0,0.24318367230047516,0.12437862066937064,0.16243275017687386,0.0,0.02030040668870046,13.20808349675727,0.005252172825993604
9,0.0,0.22100731351983577,0.0001976689104440451,0.09785396676435969,0.0,0.00934011422658631,14.161425009310381,0.003015821504337548
10,0.0,0.1942156960441694,0.03296006972202328,0.10608610441620016,0.0,0.04726263675171605,12.137621843170702,0.0
11,0.0,0.18685556008104456,0.06361508350875034,0.09366284898599452,0.0,0.03316682149065883,9.773968083691907,0.0
12,0.0,0.17082559731110547,0.016688018859280576,0.08580058031467612,0.0,0.021248618292211356,11.245490878885853,0.0
13,0.0,0.1239864663283892,0.0,0.12118510762899927,0.0,0.03392984503491929,10.284220359630556,0.0006626382284657253
14,0.0,0.16147919013076925,0.0,0.10322520743880459,0.0,0.03070817770642843,16.431713989445246,0.0
15,,inf,inf,inf,inf,inf,inf,inf
16,0.0,0.6632720332742444,3.909756441576329,0.9923953796975401,0.05173025845320671,0.6299156536131583,143.48875589093046,0.05881804807441153
